id,datetime,station,channel,event_mseed,filename,label
1,2017-10-18 02:04:52.222,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0204 52.222000.mseed,20171018 0204 52.222000.mseed,1
1,2017-10-18 02:04:53.063,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0204 53.063000.mseed,20171018 0204 53.063000.mseed,0
1,2017-10-18 02:04:53.534,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0204 53.534000.mseed,20171018 0204 53.534000.mseed,1
1,2017-10-18 02:04:53.782,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0204 53.782000.mseed,20171018 0204 53.782000.mseed,0
2,2017-10-18 02:17:45.904,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0217 45.904000.mseed,20171018 0217 45.904000.mseed,0
2,2017-10-18 02:17:46.889,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0217 46.889000.mseed,20171018 0217 46.889000.mseed,1
2,2017-10-18 02:17:47.032,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0217 47.032000.mseed,20171018 0217 47.032000.mseed,0
3,2017-10-18 02:19:37.872,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0219 37.872000.mseed,20171018 0219 37.872000.mseed,1
3,2017-10-18 02:19:38.214,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0219 38.214000.mseed,20171018 0219 38.214000.mseed,0
3,2017-10-18 02:19:38.401,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0219 38.401000.mseed,20171018 0219 38.401000.mseed,0
4,2017-10-18 02:22:41.329,REND,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\REND\20171018 0222 41.329000.mseed,20171018 0222 41.329000.mseed,0
4,2017-10-18 02:22:39.822,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0222 39.822000.mseed,20171018 0222 39.822000.mseed,0
4,2017-10-18 02:22:41.134,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0222 41.134000.mseed,20171018 0222 41.134000.mseed,0
5,2017-10-18 02:25:13.520,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0225 13.520000.mseed,20171018 0225 13.520000.mseed,1
5,2017-10-18 02:25:14.480,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0225 14.480000.mseed,20171018 0225 14.480000.mseed,0
