features,score
amplitude__kurtosis,0.06623095061498237
amplitude__ratio_beyond_r_sigma__r_3,0.06531749274690209
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.052028441608945604
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.047269282935637834
amplitude__ratio_beyond_r_sigma__r_0.5,0.03628174751672163
amplitude__binned_entropy__max_bins_10,0.027611245095540027
amplitude__ratio_beyond_r_sigma__r_1,0.025708729727343463
amplitude__lempel_ziv_complexity__bins_5,0.025157517741762416
amplitude__ratio_beyond_r_sigma__r_2.5,0.023689088360970854
"amplitude__fft_aggregated__aggtype_""kurtosis""",0.021170188018230483
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.020724653147087223
amplitude__spkt_welch_density__coeff_2,0.02061778345291899
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.019593033069102546
amplitude__autocorrelation__lag_4,0.017137542044402203
amplitude__large_standard_deviation__r_0.1,0.01621316446789777
amplitude__ratio_beyond_r_sigma__r_5,0.01511358355258126
amplitude__large_standard_deviation__r_0.2,0.015079326184396112
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.01494082710739457
"amplitude__fft_coefficient__attr_""abs""__coeff_94",0.014188393268523038
amplitude__index_mass_quantile__q_0.1,0.01381582897872493
amplitude__autocorrelation__lag_3,0.013593926238142564
amplitude__friedrich_coefficients__coeff_0__m_3__r_30,0.013541133634370704
amplitude__partial_autocorrelation__lag_3,0.012871087785345958
"amplitude__fft_coefficient__attr_""abs""__coeff_91",0.01133088854226873
amplitude__ratio_beyond_r_sigma__r_1.5,0.010674862822382203
"amplitude__fft_coefficient__attr_""abs""__coeff_95",0.010405414238864511
"amplitude__fft_coefficient__attr_""abs""__coeff_76",0.010072891240774842
"amplitude__fft_coefficient__attr_""abs""__coeff_86",0.009667792095613413
"amplitude__fft_coefficient__attr_""abs""__coeff_8",0.009641624950853606
amplitude__partial_autocorrelation__lag_6,0.009613374236651833
"amplitude__fft_coefficient__attr_""abs""__coeff_84",0.009547455126781668
"amplitude__fft_coefficient__attr_""abs""__coeff_87",0.009160686856888782
"amplitude__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.008658211618210234
"amplitude__fft_coefficient__attr_""abs""__coeff_82",0.008004159062316527
amplitude__spkt_welch_density__coeff_5,0.007912515975544467
"amplitude__fft_coefficient__attr_""abs""__coeff_97",0.007804327197261703
"amplitude__fft_coefficient__attr_""abs""__coeff_92",0.007422247707870224
"amplitude__fft_coefficient__attr_""abs""__coeff_89",0.007388374592099437
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_6,0.007348723702462455
"amplitude__fft_coefficient__attr_""abs""__coeff_9",0.007078681951506336
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.006954945335330761
"amplitude__fft_coefficient__attr_""abs""__coeff_3",0.006659216095486382
"amplitude__fft_coefficient__attr_""abs""__coeff_85",0.006604223200926025
"amplitude__fft_coefficient__attr_""abs""__coeff_4",0.006262509198356901
amplitude__partial_autocorrelation__lag_5,0.006239404983419088
"amplitude__fft_coefficient__attr_""abs""__coeff_96",0.006072076991691605
amplitude__ratio_beyond_r_sigma__r_2,0.005971285777149688
"amplitude__fft_coefficient__attr_""abs""__coeff_99",0.0057534847006302315
"amplitude__fft_coefficient__attr_""abs""__coeff_75",0.004920528026380292
amplitude__partial_autocorrelation__lag_2,0.004862642196981315
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.0047465900592579095
"amplitude__fft_coefficient__attr_""abs""__coeff_60",0.004735780133082985
"amplitude__fft_coefficient__attr_""abs""__coeff_83",0.004665624867636739
"amplitude__fft_coefficient__attr_""abs""__coeff_73",0.004316141967427997
"amplitude__fft_coefficient__attr_""abs""__coeff_40",0.004228083146773437
amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.0042166706665075415
amplitude__spkt_welch_density__coeff_8,0.004157907710671097
"amplitude__fft_coefficient__attr_""abs""__coeff_44",0.003955965623396059
"amplitude__fft_coefficient__attr_""abs""__coeff_58",0.003688359143389232
"amplitude__fft_coefficient__attr_""abs""__coeff_5",0.003206600030366428
"amplitude__agg_autocorrelation__f_agg_""var""__maxlag_40",0.003044326600963123
"amplitude__fft_coefficient__attr_""abs""__coeff_23",0.002979229151590922
"amplitude__fft_coefficient__attr_""abs""__coeff_90",0.002968070286671008
"amplitude__fft_coefficient__attr_""abs""__coeff_7",0.0027785860440650762
"amplitude__fft_coefficient__attr_""abs""__coeff_81",0.002655373441666428
"amplitude__fft_coefficient__attr_""abs""__coeff_25",0.0026421126059536885
amplitude__index_mass_quantile__q_0.2,0.0026411534885760167
"amplitude__fft_aggregated__aggtype_""variance""",0.0026387014209714598
"amplitude__fft_coefficient__attr_""abs""__coeff_74",0.002596513033990636
"amplitude__fft_coefficient__attr_""abs""__coeff_98",0.0025894847137612658
"amplitude__fft_aggregated__aggtype_""skew""",0.0024862980285846005
"amplitude__fft_coefficient__attr_""abs""__coeff_2",0.002400128684224678
amplitude__partial_autocorrelation__lag_4,0.0023970276611830423
"amplitude__fft_coefficient__attr_""abs""__coeff_61",0.002367847074824447
"amplitude__fft_coefficient__attr_""abs""__coeff_29",0.002273789912698009
amplitude__time_reversal_asymmetry_statistic__lag_3,0.0022658986422068833
"amplitude__fft_coefficient__attr_""abs""__coeff_47",0.002227747186246045
"amplitude__fft_coefficient__attr_""abs""__coeff_32",0.002119776364340156
"amplitude__fft_coefficient__attr_""abs""__coeff_56",0.002089053346051427
amplitude__autocorrelation__lag_8,0.0020660750963012956
amplitude__friedrich_coefficients__coeff_2__m_3__r_30,0.0019408509289619443
"amplitude__fft_coefficient__attr_""abs""__coeff_27",0.0019007929145378783
"amplitude__fft_coefficient__attr_""abs""__coeff_21",0.001883521173458889
amplitude__ratio_beyond_r_sigma__r_6,0.0018729405513735178
amplitude__large_standard_deviation__r_0.25,0.0018696014989822885
"amplitude__linear_trend__attr_""pvalue""",0.001811042753663144
"amplitude__fft_coefficient__attr_""abs""__coeff_18",0.0017825035257542383
amplitude__large_standard_deviation__r_0.15000000000000002,0.0017756491269009572
"amplitude__fft_coefficient__attr_""abs""__coeff_53",0.001703133914112219
"amplitude__fft_coefficient__attr_""abs""__coeff_10",0.0016507483371508754
"amplitude__fft_coefficient__attr_""abs""__coeff_88",0.0015558568432551792
amplitude__time_reversal_asymmetry_statistic__lag_2,0.0015469914132407376
"amplitude__fft_coefficient__attr_""abs""__coeff_55",0.0015234342695729347
"amplitude__fft_coefficient__attr_""abs""__coeff_59",0.00149646328104411
"amplitude__fft_coefficient__attr_""abs""__coeff_67",0.00139984531737845
"amplitude__fft_coefficient__attr_""abs""__coeff_12",0.0013927981768243117
"amplitude__fft_coefficient__attr_""imag""__coeff_61",0.0013698402237210287
"amplitude__fft_coefficient__attr_""abs""__coeff_6",0.0013689739372896768
"amplitude__fft_coefficient__attr_""abs""__coeff_63",0.0012806688318157853
"amplitude__fft_coefficient__attr_""imag""__coeff_32",0.0012200113176374077
amplitude__c3__lag_2,0.001188112085025019
"amplitude__fft_coefficient__attr_""abs""__coeff_80",0.0011764197271770525
"amplitude__fft_coefficient__attr_""abs""__coeff_24",0.0011656322902099973
"amplitude__fft_coefficient__attr_""real""__coeff_6",0.0011443506353745788
"amplitude__fft_coefficient__attr_""abs""__coeff_11",0.001122068346409097
"amplitude__fft_coefficient__attr_""abs""__coeff_77",0.0010346142742499623
"amplitude__fft_coefficient__attr_""abs""__coeff_41",0.0010102308612349134
