number_of_features,estimators,accuracy_score,confusion_matriks
1,10 Trees,0.8362204724409449,"[[245  16   0]
 [ 35 237  12]
 [  0  41  49]]"
2,10 Trees,0.9102362204724409,"[[255   6   0]
 [ 36 237  11]
 [  0   4  86]]"
3,10 Trees,0.9291338582677166,"[[252   9   0]
 [ 21 254   9]
 [  0   6  84]]"
4,10 Trees,0.952755905511811,"[[255   6   0]
 [ 18 261   5]
 [  0   1  89]]"
5,10 Trees,0.952755905511811,"[[255   6   0]
 [ 16 261   7]
 [  0   1  89]]"
6,10 Trees,0.9637795275590552,"[[252   9   0]
 [  9 270   5]
 [  0   0  90]]"
7,10 Trees,0.9574803149606299,"[[253   8   0]
 [ 15 265   4]
 [  0   0  90]]"
8,10 Trees,0.9590551181102362,"[[254   7   0]
 [ 14 265   5]
 [  0   0  90]]"
9,10 Trees,0.9622047244094488,"[[254   7   0]
 [ 15 267   2]
 [  0   0  90]]"
10,10 Trees,0.9590551181102362,"[[255   6   0]
 [ 19 264   1]
 [  0   0  90]]"
11,10 Trees,0.968503937007874,"[[256   5   0]
 [ 14 269   1]
 [  0   0  90]]"
12,10 Trees,0.968503937007874,"[[254   7   0]
 [  9 272   3]
 [  1   0  89]]"
13,10 Trees,0.9763779527559056,"[[258   3   0]
 [ 11 272   1]
 [  0   0  90]]"
14,10 Trees,0.9779527559055118,"[[254   7   0]
 [  6 277   1]
 [  0   0  90]]"
15,10 Trees,0.9826771653543307,"[[256   5   0]
 [  4 278   2]
 [  0   0  90]]"
16,10 Trees,0.984251968503937,"[[258   3   0]
 [  5 277   2]
 [  0   0  90]]"
17,10 Trees,0.984251968503937,"[[258   3   0]
 [  6 277   1]
 [  0   0  90]]"
18,10 Trees,0.984251968503937,"[[257   4   0]
 [  6 278   0]
 [  0   0  90]]"
19,10 Trees,0.9779527559055118,"[[255   6   0]
 [  7 276   1]
 [  0   0  90]]"
20,10 Trees,0.9874015748031496,"[[258   3   0]
 [  4 279   1]
 [  0   0  90]]"
21,10 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
22,10 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
23,10 Trees,0.9826771653543307,"[[259   2   0]
 [  9 275   0]
 [  0   0  90]]"
24,10 Trees,0.9826771653543307,"[[257   4   0]
 [  5 277   2]
 [  0   0  90]]"
25,10 Trees,0.9874015748031496,"[[260   1   0]
 [  6 277   1]
 [  0   0  90]]"
26,10 Trees,0.9795275590551181,"[[258   3   0]
 [  8 275   1]
 [  0   1  89]]"
27,10 Trees,0.9874015748031496,"[[259   2   0]
 [  5 279   0]
 [  0   1  89]]"
28,10 Trees,0.9858267716535433,"[[257   4   0]
 [  4 279   1]
 [  0   0  90]]"
29,10 Trees,0.984251968503937,"[[258   3   0]
 [  6 277   1]
 [  0   0  90]]"
30,10 Trees,0.9811023622047244,"[[256   5   0]
 [  6 277   1]
 [  0   0  90]]"
31,10 Trees,0.984251968503937,"[[260   1   0]
 [  7 276   1]
 [  1   0  89]]"
32,10 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
33,10 Trees,0.9826771653543307,"[[257   4   0]
 [  6 277   1]
 [  0   0  90]]"
34,10 Trees,0.984251968503937,"[[258   3   0]
 [  6 278   0]
 [  1   0  89]]"
35,10 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
36,10 Trees,0.9826771653543307,"[[257   4   0]
 [  6 277   1]
 [  0   0  90]]"
37,10 Trees,0.984251968503937,"[[258   3   0]
 [  5 278   1]
 [  0   1  89]]"
38,10 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
39,10 Trees,0.9858267716535433,"[[257   4   0]
 [  5 279   0]
 [  0   0  90]]"
40,10 Trees,0.9874015748031496,"[[259   2   0]
 [  5 278   1]
 [  0   0  90]]"
41,10 Trees,0.988976377952756,"[[261   0   0]
 [  6 277   1]
 [  0   0  90]]"
42,10 Trees,0.9858267716535433,"[[258   3   0]
 [  5 279   0]
 [  0   1  89]]"
43,10 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
44,10 Trees,0.9921259842519685,"[[260   1   0]
 [  3 280   1]
 [  0   0  90]]"
45,10 Trees,0.9874015748031496,"[[260   1   0]
 [  5 278   1]
 [  0   1  89]]"
46,10 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
47,10 Trees,0.9874015748031496,"[[256   5   0]
 [  3 281   0]
 [  0   0  90]]"
48,10 Trees,0.9811023622047244,"[[258   3   0]
 [  8 275   1]
 [  0   0  90]]"
49,10 Trees,0.984251968503937,"[[258   3   0]
 [  7 277   0]
 [  0   0  90]]"
50,10 Trees,0.988976377952756,"[[260   1   0]
 [  4 279   1]
 [  1   0  89]]"
51,10 Trees,0.9874015748031496,"[[260   1   0]
 [  5 278   1]
 [  1   0  89]]"
52,10 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
53,10 Trees,0.9858267716535433,"[[258   3   0]
 [  5 279   0]
 [  0   1  89]]"
54,10 Trees,0.9921259842519685,"[[261   0   0]
 [  4 279   1]
 [  0   0  90]]"
55,10 Trees,0.9858267716535433,"[[260   1   0]
 [  7 277   0]
 [  1   0  89]]"
56,10 Trees,0.9921259842519685,"[[259   2   0]
 [  3 281   0]
 [  0   0  90]]"
57,10 Trees,0.9826771653543307,"[[256   5   0]
 [  6 278   0]
 [  0   0  90]]"
58,10 Trees,0.9952755905511811,"[[261   0   0]
 [  3 281   0]
 [  0   0  90]]"
59,10 Trees,0.988976377952756,"[[257   4   0]
 [  3 281   0]
 [  0   0  90]]"
60,10 Trees,0.9874015748031496,"[[260   1   0]
 [  5 277   2]
 [  0   0  90]]"
61,10 Trees,0.9826771653543307,"[[259   2   0]
 [  9 275   0]
 [  0   0  90]]"
62,10 Trees,0.9858267716535433,"[[259   2   0]
 [  6 278   0]
 [  0   1  89]]"
63,10 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
64,10 Trees,0.9905511811023622,"[[260   1   0]
 [  3 281   0]
 [  0   2  88]]"
65,10 Trees,0.9826771653543307,"[[260   1   0]
 [  9 275   0]
 [  1   0  89]]"
66,10 Trees,0.9858267716535433,"[[259   2   0]
 [  6 278   0]
 [  0   1  89]]"
67,10 Trees,0.984251968503937,"[[258   3   0]
 [  6 278   0]
 [  0   1  89]]"
68,10 Trees,0.984251968503937,"[[258   3   0]
 [  6 278   0]
 [  1   0  89]]"
69,10 Trees,0.984251968503937,"[[260   1   0]
 [  8 276   0]
 [  0   1  89]]"
70,10 Trees,0.9874015748031496,"[[258   3   0]
 [  4 279   1]
 [  0   0  90]]"
71,10 Trees,0.988976377952756,"[[260   1   0]
 [  5 279   0]
 [  1   0  89]]"
72,10 Trees,0.9858267716535433,"[[259   2   0]
 [  6 278   0]
 [  0   1  89]]"
73,10 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
74,10 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
75,10 Trees,0.9858267716535433,"[[258   3   0]
 [  5 279   0]
 [  0   1  89]]"
76,10 Trees,0.9795275590551181,"[[260   1   0]
 [  9 274   1]
 [  1   1  88]]"
77,10 Trees,0.9826771653543307,"[[260   1   0]
 [  6 277   1]
 [  1   2  87]]"
78,10 Trees,0.9795275590551181,"[[256   5   0]
 [  4 278   2]
 [  1   1  88]]"
79,10 Trees,0.9874015748031496,"[[261   0   0]
 [  7 277   0]
 [  0   1  89]]"
80,10 Trees,0.988976377952756,"[[260   1   0]
 [  5 279   0]
 [  0   1  89]]"
81,10 Trees,0.984251968503937,"[[257   4   0]
 [  4 279   1]
 [  0   1  89]]"
82,10 Trees,0.9858267716535433,"[[259   2   0]
 [  4 279   1]
 [  0   2  88]]"
83,10 Trees,0.984251968503937,"[[260   1   0]
 [  5 277   2]
 [  0   2  88]]"
84,10 Trees,0.984251968503937,"[[259   2   0]
 [  5 278   1]
 [  1   1  88]]"
85,10 Trees,0.988976377952756,"[[259   2   0]
 [  4 279   1]
 [  0   0  90]]"
86,10 Trees,0.984251968503937,"[[258   3   0]
 [  6 278   0]
 [  1   0  89]]"
87,10 Trees,0.988976377952756,"[[260   1   0]
 [  6 278   0]
 [  0   0  90]]"
