feature_pair,correlation_coefficient
"('amplitude__root_mean_square', 'amplitude__standard_deviation')",1.0000000000000002
"('amplitude__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'amplitude__mean_change')",0.9999999999999999
"('amplitude__autocorrelation__lag_1', 'amplitude__partial_autocorrelation__lag_1')",0.9999999999999997
"('amplitude__count_above__t_0', 'amplitude__count_below__t_0')",-0.9999999999999997
"('amplitude__first_location_of_maximum', 'amplitude__last_location_of_maximum')",0.9999999999964977
"('amplitude__linear_trend__attr_""intercept""', 'amplitude__linear_trend__attr_""slope""')",-0.9999999794532368
"('amplitude__abs_energy', 'amplitude__variance')",0.9999999712675366
"('amplitude__absolute_sum_of_changes', 'amplitude__mean_abs_change')",0.9999998929448333
"('amplitude__absolute_sum_of_changes', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0')",0.9999998929448333
"('amplitude__first_location_of_minimum', 'amplitude__last_location_of_minimum')",0.9999997578346801
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""', 'amplitude__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""')",-0.9999640552627908
"('amplitude__count_below__t_0', 'amplitude__range_count__max_1000000000000.0__min_0')",-0.9999631655915512
"('amplitude__count_above_mean', 'amplitude__count_below__t_0')",-0.9999631655915512
"('amplitude__count_above__t_0', 'amplitude__count_above_mean')",0.9999631655915505
"('amplitude__count_above__t_0', 'amplitude__range_count__max_1000000000000.0__min_0')",0.9999631655915505
"('amplitude__count_below__t_0', 'amplitude__count_below_mean')",0.9999625442137066
"('amplitude__count_above__t_0', 'amplitude__count_below_mean')",-0.9999625442137065
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""', 'amplitude__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""')",-0.9998956108409393
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""', 'amplitude__linear_trend__attr_""slope""')",-0.9998618054899154
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""', 'amplitude__linear_trend__attr_""intercept""')",0.9998615006770201
"('amplitude__count_below_mean', 'amplitude__range_count__max_1000000000000.0__min_0')",-0.999851770519685
"('amplitude__count_above_mean', 'amplitude__count_below_mean')",-0.999851770519685
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""', 'amplitude__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""')",-0.9998157342894541
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""', 'amplitude__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""')",0.9997551296008169
"('amplitude__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""', 'amplitude__linear_trend__attr_""slope""')",0.9996853726323461
"('amplitude__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""', 'amplitude__linear_trend__attr_""intercept""')",-0.9996848554617654
